Time,ACCx_taR,ACCy_taR,ACCz_taR,GYRx_taR,GYRy_taR,GYRz_taR,ACCx_taL,ACCy_taL,ACCz_taL,GYRx_taL,GYRy_taL,GYRz_taL
0.0,9.1219,-3.3902,3.0789,-0.0826,0.0003,0.0032,8.1738,-3.371,-3.6871,-0.033,-0.0286,0.0257
0.001,9.121675,-3.39005,3.0786015625,-0.0825984375,0.0002953124999999,0.00320625,8.173763909774436,-3.3709285714285717,-3.686991729323308,-0.032993984962406,-0.028587969924812,0.0257030075187969
0.002,9.12145,-3.3899,3.078303125,-0.082596875,0.0002906249999999,0.0032125,8.173727819548873,-3.370857142857143,-3.6868834586466166,-0.032987969924812,-0.028575939849624,0.0257060150375939
0.003,9.121225,-3.38975,3.0780046875,-0.0825953125,0.0002859374999999,0.00321875,8.17369172932331,-3.3707857142857143,-3.686775187969925,-0.032981954887218,-0.028563909774436,0.0257090225563909
0.004,9.121,-3.3896,3.07770625,-0.08259375,0.0002812499999999,0.003225,8.173655639097744,-3.3707142857142856,-3.686666917293233,-0.032975939849624,-0.0285518796992481,0.0257120300751879
0.005,9.120775,-3.38945,3.0774078125,-0.0825921875,0.0002765624999999,0.00323125,8.17361954887218,-3.3706428571428573,-3.686558646616541,-0.03296992481203,-0.0285398496240601,0.0257150375939849
0.006,9.12055,-3.3893,3.077109375,-0.082590625,0.0002718749999999,0.0032375,8.173583458646617,-3.370571428571429,-3.6864503759398497,-0.032963909774436,-0.0285278195488721,0.0257180451127819
0.007,9.120325,-3.38915,3.0768109375,-0.0825890625,0.0002671874999999,0.00324375,8.173547368421053,-3.3705,-3.686342105263158,-0.0329578947368421,-0.0285157894736842,0.0257210526315789
0.008,9.1201,-3.389,3.0765125,-0.0825875,0.0002624999999999,0.00325,8.17351127819549,-3.370428571428572,-3.686233834586466,-0.0329518796992481,-0.0285037593984962,0.0257240601503759
0.009,9.119875,-3.38885,3.0762140625,-0.0825859375,0.0002578124999999,0.00325625,8.173475187969926,-3.370357142857143,-3.6861255639097754,-0.0329458646616541,-0.0284917293233082,0.0257270676691729
0.01,9.11965,-3.3887,3.0759156249999995,-0.082584375,0.0002531249999999,0.0032625,8.17343909774436,-3.3702857142857146,-3.686017293233083,-0.0329398496240601,-0.0284796992481203,0.0257300751879699
0.011,9.119425,-3.38855,3.0756171875,-0.0825828125,0.0002484374999999,0.00326875,8.173403007518797,-3.370214285714286,-3.685909022556391,-0.0329338345864661,-0.0284676691729323,0.0257330827067669
0.012,9.1192,-3.3884,3.07531875,-0.08258125,0.0002437499999999,0.003275,8.173366917293233,-3.370142857142857,-3.6858007518796994,-0.0329278195488721,-0.0284556390977443,0.0257360902255639
0.013,9.118975,-3.38825,3.0750203124999995,-0.0825796875,0.0002390624999999,0.00328125,8.17333082706767,-3.370071428571429,-3.685692481203008,-0.0329218045112782,-0.0284436090225564,0.0257390977443609
0.014,9.11875,-3.3881,3.0747218749999994,-0.082578125,0.0002343749999999,0.0032875,8.173294736842106,-3.37,-3.685584210526316,-0.0329157894736842,-0.0284315789473684,0.0257421052631578
0.015,9.118525,-3.38795,3.0744234375,-0.0825765625,0.0002296874999999,0.00329375,8.173258646616542,-3.3699285714285714,-3.685475939849624,-0.0329097744360902,-0.0284195488721804,0.0257451127819548
0.016,9.1183,-3.3878,3.074125,-0.082575,0.0002249999999999,0.0033,8.173222556390977,-3.369857142857143,-3.685367669172933,-0.0329037593984962,-0.0284075187969924,0.0257481203007518
0.017,9.118075,-3.38765,3.0738265624999994,-0.0825734375,0.0002203124999999,0.00330625,8.173186466165413,-3.3697857142857144,-3.6852593984962407,-0.0328977443609022,-0.0283954887218045,0.0257511278195488
0.018,9.11785,-3.3875,3.0735281249999997,-0.082571875,0.0002156249999999,0.0033125,8.17315037593985,-3.3697142857142857,-3.685151127819549,-0.0328917293233082,-0.0283834586466165,0.0257541353383458
0.019,9.117625,-3.38735,3.0732296875,-0.0825703125,0.0002109374999999,0.00331875,8.173114285714286,-3.3696428571428574,-3.685042857142857,-0.0328857142857142,-0.0283714285714285,0.0257571428571428
0.02,9.1174,-3.3871999999999995,3.0729312499999994,-0.08256875,0.0002062499999999,0.003325,8.173078195488722,-3.3695714285714287,-3.6849345864661656,-0.0328796992481203,-0.0283593984962406,0.0257601503759398
0.021,9.117175,-3.3870499999999995,3.0726328124999998,-0.0825671875,0.0002015624999999,0.00333125,8.173042105263159,-3.3695,-3.684826315789474,-0.0328736842105263,-0.0283473684210526,0.0257631578947368
0.022,9.11695,-3.3869,3.072334374999999,-0.082565625,0.0001968749999999,0.0033375,8.173006015037593,-3.369428571428572,-3.684718045112782,-0.0328676691729323,-0.0283353383458646,0.0257661654135338
0.023,9.116725,-3.38675,3.072035937499999,-0.0825640625,0.0001921874999999,0.00334375,8.17296992481203,-3.369357142857143,-3.6846097744360895,-0.0328616541353383,-0.0283233082706767,0.0257691729323308
0.024,9.1165,-3.3866,3.0717375,-0.0825625,0.0001874999999999,0.00335,8.172933834586466,-3.369285714285714,-3.684501503759399,-0.0328556390977443,-0.0283112781954887,0.0257721804511278
0.025,9.116275,-3.3864499999999995,3.071439062499999,-0.0825609375,0.0001828124999999,0.00335625,8.172897744360903,-3.369214285714286,-3.684393233082707,-0.0328496240601503,-0.0282992481203007,0.0257751879699248
0.026,9.11605,-3.3862999999999994,3.071140624999999,-0.082559375,0.0001781249999999,0.0033625,8.172861654135339,-3.369142857142857,-3.684284962406015,-0.0328436090225564,-0.0282872180451128,0.0257781954887218
