Time,ACCx_taR,ACCy_taR,ACCz_taR,GYRx_taR,GYRy_taR,GYRz_taR,ACCx_taL,ACCy_taL,ACCz_taL,GYRx_taL,GYRy_taL,GYRz_taL
0.0,9.0692,-4.6304,-1.0965,-0.0822,-0.0004,0.0024,8.4707,-1.3455,-4.2329,-0.0252,-0.0264,0.0233
0.001,9.069272727272727,-4.630181818181818,-1.0965,-0.0821984848484848,-0.0004015151515151,0.0023984848484848,8.47070004171501,-1.3455,-4.232899979577027,-0.0251999973928119,-0.0264000021726566,0.0233000021726566
0.002,9.069345454545456,-4.6299636363636365,-1.0965,-0.0821969696969697,-0.0004030303030303,0.0023969696969696,8.470700083430017,-1.3455,-4.232899959154055,-0.0251999947856239,-0.0264000043453133,0.0233000043453133
0.003,9.069418181818182,-4.629745454545454,-1.0965,-0.0821954545454545,-0.0004045454545454,0.0023954545454545,8.470700125145026,-1.3455,-4.232899938731081,-0.0251999921784359,-0.02640000651797,0.02330000651797
0.004,9.06949090909091,-4.629527272727272,-1.0965,-0.0821939393939393,-0.0004060606060606,0.0023939393939393,8.470700166860034,-1.3455,-4.232899918308108,-0.0251999895712479,-0.0264000086906267,0.0233000086906267
0.005,9.069563636363636,-4.629309090909091,-1.0965,-0.0821924242424242,-0.0004075757575757,0.0023924242424242,8.470700208575042,-1.3455,-4.232899897885136,-0.0251999869640599,-0.0264000108632834,0.0233000108632834
0.006,9.069636363636365,-4.629090909090909,-1.0965,-0.082190909090909,-0.0004090909090909,0.002390909090909,8.47070025029005,-1.3455,-4.232899877462163,-0.0251999843568718,-0.02640001303594,0.02330001303594
0.007,9.069709090909091,-4.628872727272727,-1.0965,-0.0821893939393939,-0.000410606060606,0.0023893939393939,8.47070029200506,-1.3455,-4.232899857039191,-0.0251999817496838,-0.0264000152085967,0.0233000152085967
0.008,9.069781818181818,-4.628654545454546,-1.0965,-0.0821878787878787,-0.0004121212121212,0.0023878787878787,8.470700333720067,-1.3455,-4.232899836616218,-0.0251999791424958,-0.0264000173812534,0.0233000173812534
0.009,9.069854545454543,-4.628436363636364,-1.0965,-0.0821863636363636,-0.0004136363636363,0.0023863636363636,8.470700375435076,-1.3455,-4.232899816193244,-0.0251999765353078,-0.0264000195539101,0.0233000195539101
0.01,9.069927272727274,-4.628218181818181,-1.0965,-0.0821848484848484,-0.0004151515151515,0.0023848484848484,8.470700417150084,-1.3455,-4.232899795770272,-0.0251999739281198,-0.0264000217265668,0.0233000217265668
0.011,9.07,-4.627999999999999,-1.0965,-0.0821833333333333,-0.0004166666666666,0.0023833333333333,8.470700458865092,-1.3455,-4.232899775347299,-0.0251999713209318,-0.0264000238992234,0.0233000238992234
0.012,9.070072727272729,-4.627781818181818,-1.0965,-0.0821818181818181,-0.0004181818181818,0.0023818181818181,8.4707005005801,-1.3455,-4.232899754924326,-0.0251999687137437,-0.0264000260718801,0.0233000260718801
0.013,9.070145454545456,-4.627563636363636,-1.0965,-0.082180303030303,-0.0004196969696969,0.002380303030303,8.47070054229511,-1.3455,-4.232899734501354,-0.0251999661065557,-0.0264000282445368,0.0233000282445368
0.014,9.070218181818182,-4.627345454545454,-1.0965,-0.0821787878787878,-0.0004212121212121,0.0023787878787878,8.470700584010117,-1.3455,-4.232899714078381,-0.0251999634993677,-0.0264000304171935,0.0233000304171935
0.015,9.07029090909091,-4.6271272727272725,-1.0965,-0.0821772727272727,-0.0004227272727272,0.0023772727272727,8.470700625725126,-1.3455,-4.232899693655408,-0.0251999608921797,-0.0264000325898502,0.0233000325898502
0.016,9.070363636363636,-4.62690909090909,-1.0965,-0.0821757575757575,-0.0004242424242424,0.0023757575757575,8.470700667440132,-1.3455,-4.232899673232435,-0.0251999582849917,-0.0264000347625068,0.0233000347625069
0.017,9.070436363636365,-4.626690909090908,-1.0965,-0.0821742424242424,-0.0004257575757575,0.0023742424242424,8.47070070915514,-1.3455,-4.232899652809462,-0.0251999556778037,-0.0264000369351635,0.0233000369351635
0.018,9.070509090909091,-4.626472727272727,-1.0965,-0.0821727272727272,-0.0004272727272727,0.0023727272727272,8.470700750870149,-1.3455,-4.23289963238649,-0.0251999530706156,-0.0264000391078202,0.0233000391078202
0.019,9.070581818181818,-4.626254545454545,-1.0965,-0.0821712121212121,-0.0004287878787878,0.0023712121212121,8.470700792585157,-1.3455,-4.232899611963517,-0.0251999504634276,-0.0264000412804769,0.0233000412804769
0.02,9.070654545454548,-4.626036363636363,-1.0965,-0.0821696969696969,-0.000430303030303,0.0023696969696969,8.470700834300166,-1.3455,-4.232899591540543,-0.0251999478562396,-0.0264000434531336,0.0233000434531336
0.021,9.070727272727272,-4.625818181818182,-1.0965,-0.0821681818181818,-0.0004318181818181,0.0023681818181818,8.470700876015174,-1.3455,-4.232899571117571,-0.0251999452490516,-0.0264000456257903,0.0233000456257903
0.022,9.0708,-4.6256,-1.0965,-0.0821666666666666,-0.0004333333333333,0.0023666666666666,8.470700917730182,-1.3455,-4.232899550694598,-0.0251999426418636,-0.0264000477984469,0.0233000477984469
0.023,9.070872727272729,-4.625381818181817,-1.0965,-0.0821651515151515,-0.0004348484848484,0.0023651515151515,8.47070095944519,-1.3455,-4.2328995302716255,-0.0251999400346756,-0.0264000499711036,0.0233000499711036
0.024,9.070945454545456,-4.625163636363636,-1.0965,-0.0821636363636363,-0.0004363636363636,0.0023636363636363,8.470701001160199,-1.3455,-4.232899509848653,-0.0251999374274875,-0.0264000521437603,0.0233000521437603
0.025,9.071018181818182,-4.624945454545454,-1.0965,-0.0821621212121212,-0.0004378787878787,0.0023621212121212,8.470701042875207,-1.3455,-4.23289948942568,-0.0251999348202995,-0.026400054316417,0.023300054316417
0.026,9.071090909090907,-4.624727272727272,-1.0965,-0.082160606060606,-0.0004393939393939,0.002360606060606,8.470701084590216,-1.3455,-4.232899469002707,-0.0251999322131115,-0.0264000564890737,0.0233000564890737
0.027,9.071163636363636,-4.624509090909091,-1.0965,-0.0821590909090909,-0.000440909090909,0.0023590909090909,8.470701126305224,-1.3455,-4.232899448579734,-0.0251999296059235,-0.0264000586617303,0.0233000586617303
0.028,9.071236363636364,-4.624290909090909,-1.0965,-0.0821575757575757,-0.0004424242424242,0.0023575757575757,8.470701168020232,-1.3455,-4.232899428156761,-0.0251999269987355,-0.026400060834387,0.023300060834387
0.029,9.071309090909091,-4.6240727272727264,-1.0965,-0.0821560606060606,-0.0004439393939393,0.0023560606060606,8.47070120973524,-1.3455,-4.232899407733789,-0.0251999243915474,-0.0264000630070437,0.0233000630070437
0.03,9.071381818181818,-4.623854545454544,-1.0965,-0.0821545454545454,-0.0004454545454545,0.0023545454545454,8.470701251450249,-1.3455,-4.232899387310816,-0.0251999217843594,-0.0264000651797004,0.0233000651797004
0.031,9.071454545454548,-4.623636363636363,-1.0965,-0.0821530303030303,-0.0004469696969697,0.0023530303030302,8.470701293165257,-1.3455,-4.232899366887843,-0.0251999191771714,-0.0264000673523571,0.0233000673523571
0.032,9.071527272727272,-4.623418181818181,-1.0965,-0.0821515151515151,-0.0004484848484848,0.0023515151515151,8.470701334880266,-1.3455,-4.23289934646487,-0.0251999165699834,-0.0264000695250137,0.0233000695250137
0.033,9.0716,-4.623199999999999,-1.0965,-0.08215,-0.00045,0.0023499999999999,8.470701376595274,-1.3455,-4.232899326041897,-0.0251999139627954,-0.0264000716976704,0.0233000716976704
0.034,9.071672727272729,-4.622981818181818,-1.0965,-0.0821484848484848,-0.0004515151515151,0.0023484848484848,8.470701418310282,-1.3455,-4.232899305618925,-0.0251999113556074,-0.0264000738703271,0.0233000738703271
0.035,9.071745454545455,-4.622763636363636,-1.0965,-0.0821469696969696,-0.0004530303030303,0.0023469696969696,8.47070146002529,-1.3455,-4.232899285195952,-0.0251999087484193,-0.0264000760429838,0.0233000760429838
0.036,9.071818181818182,-4.622545454545453,-1.0965,-0.0821454545454545,-0.0004545454545454,0.0023454545454545,8.4707015017403,-1.3455,-4.232899264772979,-0.0251999061412313,-0.0264000782156405,0.0233000782156405
0.037,9.071890909090907,-4.622327272727272,-1.0965,-0.0821439393939394,-0.0004560606060606,0.0023439393939393,8.470701543455307,-1.3455,-4.232899244350006,-0.0251999035340433,-0.0264000803882972,0.0233000803882972
0.038,9.071963636363636,-4.62210909090909,-1.0965,-0.0821424242424242,-0.0004575757575757,0.0023424242424242,8.470701585170316,-1.3455,-4.232899223927033,-0.0251999009268553,-0.0264000825609538,0.0233000825609538
0.039,9.072036363636364,-4.621890909090908,-1.0965,-0.082140909090909,-0.0004590909090909,0.002340909090909,8.470701626885324,-1.3455,-4.2328992035040605,-0.0251998983196673,-0.0264000847336105,0.0233000847336105
0.04,9.072109090909091,-4.621672727272727,-1.0965,-0.0821393939393939,-0.000460606060606,0.0023393939393939,8.470701668600332,-1.3455,-4.232899183081088,-0.0251998957124793,-0.0264000869062672,0.0233000869062672
0.041,9.072181818181818,-4.621454545454545,-1.0965,-0.0821378787878787,-0.0004621212121212,0.0023378787878787,8.47070171031534,-1.3455,-4.232899162658115,-0.0251998931052912,-0.0264000890789239,0.0233000890789239
0.042,9.072254545454546,-4.6212363636363625,-1.0965,-0.0821363636363636,-0.0004636363636363,0.0023363636363636,8.47070175203035,-1.3455,-4.232899142235143,-0.0251998904981032,-0.0264000912515806,0.0233000912515806
0.043,9.072327272727271,-4.621018181818181,-1.0965,-0.0821348484848484,-0.0004651515151515,0.0023348484848484,8.470701793745357,-1.3455,-4.232899121812169,-0.0251998878909152,-0.0264000934242372,0.0233000934242372
0.044,9.0724,-4.620799999999999,-1.0965,-0.0821333333333333,-0.0004666666666666,0.0023333333333333,8.470701835460366,-1.3455,-4.232899101389196,-0.0251998852837272,-0.0264000955968939,0.0233000955968939
0.045,9.072472727272729,-4.620581818181817,-1.0965,-0.0821318181818181,-0.0004681818181818,0.0023318181818181,8.470701877175374,-1.3455,-4.232899080966224,-0.0251998826765392,-0.0264000977695506,0.0233000977695506
0.046,9.072545454545455,-4.620363636363636,-1.0965,-0.082130303030303,-0.0004696969696969,0.002330303030303,8.47070191889038,-1.3455,-4.232899060543251,-0.0251998800693512,-0.0264000999422073,0.0233000999422073
0.047,9.072618181818182,-4.620145454545454,-1.0965,-0.0821287878787878,-0.0004712121212121,0.0023287878787878,8.470701960605389,-1.3455,-4.232899040120278,-0.0251998774621631,-0.026400102114864,0.023300102114864
0.048,9.072690909090907,-4.619927272727272,-1.0965,-0.0821272727272727,-0.0004727272727272,0.0023272727272727,8.470702002320397,-1.3455,-4.232899019697306,-0.0251998748549751,-0.0264001042875206,0.0233001042875206
0.049,9.072763636363636,-4.619709090909089,-1.0965,-0.0821257575757575,-0.0004742424242424,0.0023257575757575,8.470702044035406,-1.3455,-4.232898999274332,-0.0251998722477871,-0.0264001064601773,0.0233001064601773
