Time,ACCx_taR,ACCy_taR,ACCz_taR,GYRx_taR,GYRy_taR,GYRz_taR,ACCx_taL,ACCy_taL,ACCz_taL,GYRx_taL,GYRy_taL,GYRz_taL
0.0,8.5186,-4.6735,3.055,-0.0755,0.0019,-0.06,8.1403,-3.5243,-3.6152,-0.039,-0.0213,0.0047
0.001,8.519273437499999,-4.6726015625,3.0547,-0.075390625,0.001853125,-0.0607281249999999,8.140421319796955,-3.523983756345178,-3.61517614213198,-0.0390177664974619,-0.0213086294416243,0.0046903553299492
0.002,8.519946874999999,-4.671703125,3.0544,-0.07528125,0.00180625,-0.06145625,8.140542639593908,-3.523667512690356,-3.61515228426396,-0.0390355329949238,-0.0213172588832487,0.0046807106598984
0.003,8.5206203125,-4.6708046875,3.0541,-0.075171875,0.001759375,-0.0621843749999999,8.140663959390864,-3.5233512690355333,-3.6151284263959393,-0.0390532994923857,-0.021325888324873,0.0046710659898477
0.004,8.52129375,-4.66990625,3.0538000000000003,-0.0750625,0.0017125,-0.0629125,8.140785279187817,-3.523035025380711,-3.615104568527919,-0.0390710659898477,-0.0213345177664974,0.0046614213197969
0.005,8.5219671875,-4.669007812499999,3.0535,-0.074953125,0.001665625,-0.0636406249999999,8.140906598984772,-3.5227187817258887,-3.6150807106598983,-0.0390888324873096,-0.0213431472081218,0.0046517766497461
0.006,8.522640625,-4.668109374999999,3.0532000000000004,-0.07484375,0.00161875,-0.0643687499999999,8.141027918781726,-3.5224025380710664,-3.6150568527918794,-0.0391065989847715,-0.0213517766497461,0.0046421319796954
0.007,8.523314062499999,-4.6672109375,3.0529,-0.074734375,0.001571875,-0.065096875,8.14114923857868,-3.522086294416244,-3.615032994923858,-0.0391243654822335,-0.0213604060913705,0.0046324873096446
0.008,8.523987499999999,-4.6663125,3.0526,-0.074625,0.001525,-0.065825,8.141270558375634,-3.5217700507614214,-3.615009137055838,-0.0391421319796954,-0.0213690355329949,0.0046228426395939
0.009,8.5246609375,-4.6654140625,3.0523,-0.074515625,0.001478125,-0.0665531249999999,8.14139187817259,-3.521453807106599,-3.6149852791878176,-0.0391598984771573,-0.0213776649746192,0.0046131979695431
0.01,8.525334375,-4.664515625,3.052,-0.07440625,0.00143125,-0.0672812499999999,8.141513197969543,-3.5211375634517768,-3.614961421319797,-0.0391776649746192,-0.0213862944162436,0.0046035532994923
0.011,8.5260078125,-4.6636171875,3.0517000000000003,-0.074296875,0.001384375,-0.0680093749999999,8.141634517766498,-3.5208213197969545,-3.6149375634517766,-0.0391954314720812,-0.021394923857868,0.0045939086294416
0.012,8.52668125,-4.66271875,3.0514,-0.0741875,0.0013375,-0.0687374999999999,8.141755837563451,-3.520505076142132,-3.614913705583757,-0.0392131979695431,-0.0214035532994923,0.0045842639593908
0.013,8.527354687499999,-4.6618203125,3.0511,-0.074078125,0.001290625,-0.0694656249999999,8.141877157360407,-3.52018883248731,-3.614889847715736,-0.039230964467005,-0.0214121827411167,0.0045746192893401
0.014,8.528028124999999,-4.660921875,3.0508,-0.07396875,0.00124375,-0.0701937499999999,8.14199847715736,-3.5198725888324875,-3.614865989847716,-0.039248730964467,-0.0214208121827411,0.0045649746192893
0.015,8.5287015625,-4.6600234375,3.0505,-0.073859375,0.001196875,-0.070921875,8.142119796954315,-3.519556345177665,-3.614842131979696,-0.0392664974619289,-0.0214294416243654,0.0045553299492385
0.016,8.529375,-4.659125,3.0502,-0.07375,0.00115,-0.0716499999999999,8.142241116751268,-3.519240101522843,-3.6148182741116752,-0.0392842639593908,-0.0214380710659898,0.0045456852791878
0.017,8.5300484375,-4.6582265625,3.0499,-0.073640625,0.001103125,-0.0723781249999999,8.142362436548224,-3.5189238578680206,-3.614794416243655,-0.0393020304568527,-0.0214467005076142,0.004536040609137
0.018,8.530721875,-4.657328124999999,3.0496000000000003,-0.07353125,0.00105625,-0.0731062499999999,8.142483756345177,-3.5186076142131983,-3.614770558375634,-0.0393197969543147,-0.0214553299492385,0.0045263959390862
0.019,8.531395312499999,-4.656429687499999,3.0493,-0.073421875,0.001009375,-0.0738343749999999,8.142605076142132,-3.518291370558376,-3.6147467005076144,-0.0393375634517766,-0.0214639593908629,0.0045167512690355
0.02,8.532068749999999,-4.65553125,3.049,-0.0733125,0.0009625,-0.0745624999999999,8.142726395939086,-3.5179751269035537,-3.614722842639594,-0.0393553299492385,-0.0214725888324873,0.0045071065989847
0.021,8.5327421875,-4.6546328125,3.0487,-0.073203125,0.000915625,-0.0752906249999999,8.14284771573604,-3.5176588832487314,-3.614698984771574,-0.0393730964467005,-0.0214812182741116,0.004497461928934
0.022,8.533415625,-4.653734375,3.0484,-0.07309375,0.00086875,-0.0760187499999999,8.142969035532994,-3.517342639593909,-3.6146751269035535,-0.0393908629441624,-0.021489847715736,0.0044878172588832
0.023,8.5340890625,-4.6528359375,3.0481000000000003,-0.072984375,0.000821875,-0.0767468749999999,8.14309035532995,-3.5170263959390864,-3.614651269035533,-0.0394086294416243,-0.0214984771573604,0.0044781725888324
0.024,8.5347625,-4.6519375,3.0478,-0.072875,0.000775,-0.0774749999999999,8.143211675126903,-3.516710152284264,-3.614627411167513,-0.0394263959390862,-0.0215071065989847,0.0044685279187817
0.025,8.535435937499999,-4.6510390625,3.0475000000000003,-0.072765625,0.000728125,-0.0782031249999999,8.143332994923858,-3.516393908629442,-3.6146035532994927,-0.0394441624365482,-0.0215157360406091,0.0044588832487309
0.026,8.536109374999999,-4.650140625,3.0472,-0.07265625,0.00068125,-0.0789312499999999,8.143454314720811,-3.5160776649746195,-3.614579695431472,-0.0394619289340101,-0.0215243654822335,0.0044492385786802
0.027,8.5367828125,-4.6492421875,3.0469,-0.072546875,0.000634375,-0.0796593749999999,8.143575634517767,-3.515761421319797,-3.614555837563452,-0.039479695431472,-0.0215329949238578,0.0044395939086294
0.028,8.53745625,-4.64834375,3.0466,-0.0724375,0.0005875,-0.0803874999999999,8.14369695431472,-3.515445177664975,-3.614531979695432,-0.039497461928934,-0.0215416243654822,0.0044299492385786
0.029,8.5381296875,-4.6474453125,3.0463,-0.072328125,0.000540625,-0.0811156249999999,8.143818274111675,-3.5151289340101526,-3.614508121827412,-0.0395152284263959,-0.0215502538071065,0.0044203045685279
0.03,8.538803125,-4.646546874999999,3.0460000000000003,-0.07221875,0.00049375,-0.0818437499999999,8.143939593908629,-3.5148126903553303,-3.614484263959391,-0.0395329949238578,-0.0215588832487309,0.0044106598984771
0.031,8.539476562499999,-4.645648437499999,3.0457,-0.072109375,0.000446875,-0.0825718749999999,8.144060913705584,-3.514496446700508,-3.6144604060913705,-0.0395507614213197,-0.0215675126903553,0.0044010152284264
0.032,8.540149999999999,-4.64475,3.0454000000000003,-0.072,0.0004,-0.0832999999999999,8.144182233502537,-3.5141802030456857,-3.6144365482233503,-0.0395685279187817,-0.0215761421319796,0.0043913705583756
0.033,8.5408234375,-4.6438515625,3.0451,-0.071890625,0.000353125,-0.0840281249999999,8.144303553299492,-3.5138639593908634,-3.61441269035533,-0.0395862944162436,-0.021584771573604,0.0043817258883248
0.034,8.541496875,-4.642953125,3.0448,-0.07178125,0.00030625,-0.0847562499999999,8.144424873096446,-3.513547715736041,-3.6143888324873097,-0.0396040609137055,-0.0215934010152284,0.0043720812182741
0.035,8.5421703125,-4.6420546875,3.0445,-0.071671875,0.000259375,-0.0854843749999999,8.1445461928934,-3.5132314720812188,-3.6143649746192894,-0.0396218274111675,-0.0216020304568527,0.0043624365482233
0.036,8.54284375,-4.64115625,3.0442,-0.0715625,0.0002125,-0.0862124999999999,8.144667512690354,-3.5129152284263965,-3.614341116751269,-0.0396395939086294,-0.0216106598984771,0.0043527918781725
0.037,8.543517187499999,-4.6402578125,3.0439000000000003,-0.071453125,0.000165625,-0.0869406249999999,8.14478883248731,-3.512598984771574,-3.614317258883249,-0.0396573604060913,-0.0216192893401015,0.0043431472081218
0.038,8.544190625,-4.639359375,3.0436,-0.07134375,0.00011875,-0.0876687499999999,8.144910152284263,-3.5122827411167514,-3.614293401015229,-0.0396751269035532,-0.0216279187817258,0.004333502538071
0.039,8.5448640625,-4.6384609375,3.0433,-0.071234375,7.187500000000163e-05,-0.0883968749999999,8.145031472081218,-3.511966497461929,-3.614269543147208,-0.0396928934010152,-0.0216365482233502,0.0043238578680203
0.04,8.5455375,-4.6375625,3.043,-0.071125,2.5000000000001583e-05,-0.0891249999999999,8.145152791878171,-3.511650253807107,-3.614245685279188,-0.0397106598984771,-0.0216451776649746,0.0043142131979695
0.041,8.5462109375,-4.6366640625,3.0427,-0.071015625,-2.1874999999998455e-05,-0.0898531249999999,8.145274111675127,-3.5113340101522845,-3.614221827411168,-0.039728426395939,-0.0216538071065989,0.0043045685279187
0.042,8.546884375,-4.635765625,3.0424,-0.07090625,-6.874999999999828e-05,-0.0905812499999999,8.14539543147208,-3.5110177664974622,-3.614197969543147,-0.039746192893401,-0.0216624365482233,0.004294923857868
