Timestamp (s),Sensor ID,Accel X (m/s^2),Accel Y (m/s^2),Accel Z (m/s^2),Gyro X (rad/s),Gyro Y (rad/s),Gyro Z (rad/s)
131.621,1,9.1219,-2.4660,3.5338, -0.0405,-0.0262,0.0312
131.752,1,9.1363,-2.4612,3.5243, -0.0408,-0.0270,0.0297
131.883,1,9.1219,-2.4469,3.5291, -0.0406,-0.0297,0.0294
132.014,1,9.1411,-2.4421,3.5243, -0.0417,-0.0309,0.0298
132.144,1,9.1363,-2.4421,3.5147, -0.0414,-0.0310,0.0308
132.275,1,9.1267,-2.4469,3.5099, -0.0412,-0.0285,0.0308
132.406,1,9.1411,-2.4325,3.5147, -0.0409,-0.0276,0.0298
132.537,1,9.1411,-2.4277,3.5099, -0.0408,-0.0289,0.0292
132.667,1,9.1459,-2.4277,3.5051, -0.0414,-0.0294,0.0301
132.798,1,9.1459,-2.4229,3.5051, -0.0416,-0.0294,0.0302
132.929,1,9.1506,-2.4134,3.4955, -0.0421,-0.0301,0.0293
133.125,1,9.1459,-2.4181,3.5099, -0.0413,-0.0274,0.0314
133.256,1,9.1459,-2.4086,3.5003, -0.0420,-0.0257,0.0324
133.387,1,9.1506,-2.4038,3.5003, -0.0420,-0.0289,0.0310
133.518,1,9.1506,-2.3990,3.4955, -0.0425,-0.0294,0.0297
133.649,1,9.1506,-2.3942,3.5051, -0.0421,-0.0288,0.0293
133.779,1,9.1602,-2.3990,3.5051, -0.0414,-0.0288,0.0304
133.910,1,9.1554,-2.3990,3.4907, -0.0416,-0.0270,0.0273
134.041,1,9.1650,-2.3846,3.5099, -0.0409,-0.0249,0.0350
134.172,1,9.1554,-2.3750,3.5099, -0.0416,-0.0266,0.0352
134.303,1,9.1459,-2.3990,3.5147, -0.0420,-0.0265,0.0358
134.433,1,9.1554,-2.4038,3.5099, -0.0426,-0.0274,0.0353
134.564,1,9.1554,-2.3990,3.5147, -0.0429,-0.0272,0.0328
134.695,1,9.1411,-2.3798,3.5099, -0.0428,-0.0274,0.0348
134.826,1,9.1554,-2.4134,3.5051, -0.0424,-0.0273,0.0397
134.957,1,9.1411,-2.4134,3.4955, -0.0425,-0.0272,0.0361
135.087,1,9.1506,-2.4038,3.5051, -0.0425,-0.0254,0.0366
135.218,1,9.1459,-2.4086,3.5099, -0.0428,-0.0266,0.0376
135.349,1,9.1363,-2.4229,3.5003, -0.0426,-0.0257,0.0373
135.480,1,9.1411,-2.4229,3.4955, -0.0432,-0.0256,0.0354
135.611,1,9.1411,-2.4325,3.5147, -0.0417,-0.0249,0.0382
135.742,1,9.1363,-2.4277,3.5147, -0.0418,-0.0229,0.0389
135.872,1,9.1363,-2.4325,3.5243, -0.0416,-0.0218,0.0366
136.199,1,9.1171,-2.4517,3.5386, -0.0409,-0.0216,0.0365
136.330,1,9.1171,-2.4517,3.5530, -0.0404,-0.0204,0.0386
136.592,1,9.1219,-2.4469,3.5817, -0.0424,-0.0306,0.0284
136.723,1,9.1267,-2.4421,3.5530, -0.0434,-0.0352,0.0269
136.853,1,9.1363,-2.4134,3.5338, -0.0453,-0.0473,0.0406
136.984,1,9.1315,-2.4517,3.5099, -0.0452,-0.0349,0.0592
137.115,1,9.1123,-2.4852,3.5099, -0.0461,-0.0261,0.0662
137.246,1,9.0788,-2.5666,3.5147, -0.0416,-0.0222,0.0711
137.377,1,9.0788,-2.5809,3.5338, -0.0252,-0.0410,0.0212
137.507,1,9.1171,-2.5474,3.4955, -0.0253,-0.0577,0.0003
137.638,1,9.1123,-2.5235,3.4812, -0.0361,-0.0345,0.0147
137.769,1,9.1602,-2.4660,3.4093, -0.0340,0.0147,0.0588
137.898,1,9.0261,-2.6193,3.7350, -0.0542,0.0931,0.1055
138.026,1,8.9974,-2.6959,3.7062, -0.0783,-0.0265,-0.0774
138.159,1,9.2464,-2.2266,3.7158, -0.0865,-0.0340,0.0207
138.290,1,8.5425,-4.0510,4.1659, -1.6553,0.3543,-0.2385
138.421,1,8.3797,-4.0893,4.5777, -2.2800,0.8331,-0.6891
138.552,1,8.7532,-3.2801,3.6009, -1.7688,0.7556,-0.3353
138.683,1,9.7731,-2.2601,2.1404, -1.3311,0.4672,-0.1689
138.815,1,9.6055,-2.3463,2.4517, -0.2477,-0.3547,0.2182
138.945,1,8.2744,-3.2848,4.1372, -0.2546,-0.3307,0.1296
139.075,1,6.3255,-3.6679,6.4643, -0.3341,0.5005,0.1920
139.204,1,9.9695,-1.8340,4.3862, 0.1246,0.1948,-0.4438
139.334,1,9.0309,-2.7773,3.6823, -0.0464,-0.0084,0.0934
139.463,1,9.5624,-2.4612,3.6105, -0.0057,0.4467,0.3609
139.591,1,7.9823,-3.2848,4.8842, 0.0689,0.6015,0.4158
139.717,1,7.5753,-3.8307,5.2385, -0.0665,-0.0701,-0.0125
139.850,1,8.6048,-3.4429,4.6400, -0.0882,0.1053,-0.0621
139.979,1,8.5234,-3.7158,5.2098, 0.1996,1.5240,0.1719
140.106,1,8.6526,-4.8028,7.4939, 1.0052,3.5018,0.4306
140.233,1,7.9535,-6.0573,1.4126, 1.0579,-1.5010,-0.0468
140.365,1,9.2991,-4.3335,5.7269, -2.2957,-3.4482,0.0766
140.497,1,6.0047,-0.9720,15.7922, -0.7667,-1.8221,0.8601
140.628,1,10.3956,-2.1213,6.4548, 0.7196,0.5852,-1.8275
140.821,1,8.9399,-2.8443,3.8978, -0.0485,0.0553,0.0100
140.950,1,8.8729,-2.8778,3.9025, -0.0155,0.0675,0.0485
141.077,1,8.8633,-2.8539,4.0414, 0.0125,0.0769,0.0256
141.204,1,8.8633,-2.8012,4.2186, -0.0135,0.1196,0.0991
141.332,1,10.2951,-3.1603,3.3088, 0.0330,1.2120,0.4418
141.460,1,9.7300,-4.4532,7.1108, 1.1570,4.2575,0.5441
141.588,1,7.6806,-5.4636,0.9290, 0.6827,-1.1374,-0.2579
141.720,1,9.3661,-5.1475,5.3534, -1.9789,-3.4463,0.3035
150.355,1,8.8825,-2.9928,3.9887, -0.0001,0.0013,-0.0749
150.485,1,8.9591,-2.9257,3.9313, -0.0374,0.1386,0.1474
