Timestamp (s),Sensor ID,Accel X (m/s^2),Accel Y (m/s^2),Accel Z (m/s^2),Gyro X (rad/s),Gyro Y (rad/s),Gyro Z (rad/s)
84.859,1,8.9495,-3.4764,-3.5865, -0.0811,-0.0032,0.0015
84.924,1,8.9543,-3.4716,-3.5865, -0.0810,-0.0031,0.0023
84.989,1,8.9447,-3.4812,-3.6105, -0.0811,-0.0029,0.0028
85.055,1,8.9591,-3.4764,-3.5865, -0.0811,-0.0029,0.0028
85.120,1,8.9447,-3.4907,-3.5817, -0.0818,-0.0025,0.0041
85.186,1,8.9447,-3.4860,-3.5961, -0.0819,-0.0027,0.0031
85.251,1,8.9352,-3.4860,-3.5961, -0.0814,-0.0023,0.0025
85.316,1,8.9399,-3.4812,-3.6009, -0.0817,-0.0020,0.0021
85.382,1,8.9352,-3.4907,-3.6009, -0.0817,-0.0017,0.0000
85.447,1,8.9352,-3.4812,-3.6009, -0.0815,-0.0017,0.0008
85.512,1,8.9447,-3.4860,-3.6009, -0.0815,-0.0019,0.0001
85.578,1,8.9447,-3.4860,-3.6152, -0.0815,-0.0019,0.0004
85.643,1,8.9447,-3.4764,-3.5817, -0.0809,-0.0015,0.0008
85.709,1,8.9399,-3.4812,-3.5961, -0.0810,-0.0011,0.0028
85.774,1,8.9399,-3.4860,-3.5961, -0.0811,-0.0003,0.0031
85.839,1,8.9399,-3.4812,-3.6009, -0.0809,0.0011,0.0016
85.904,1,8.9399,-3.4860,-3.6057, -0.0813,0.0019,0.0036
85.968,1,8.9352,-3.4860,-3.6009, -0.0818,0.0009,0.0017
86.032,1,8.9447,-3.4907,-3.5865, -0.0818,-0.0015,0.0005
86.098,1,8.9543,-3.4907,-3.5961, -0.0822,-0.0028,0.0000
86.163,1,8.9352,-3.4955,-3.6057, -0.0825,-0.0032,-0.0004
86.230,1,8.9304,-3.4955,-3.5865, -0.0823,-0.0017,0.0003
86.295,1,8.9447,-3.4860,-3.5961, -0.0815,-0.0035,0.0012
86.360,1,8.9352,-3.4812,-3.6105, -0.0811,-0.0051,0.0023
86.426,1,8.9352,-3.4955,-3.6105, -0.0815,-0.0051,0.0021
86.491,1,8.9399,-3.4812,-3.6009, -0.0818,-0.0032,0.0008
86.557,1,8.9495,-3.4764,-3.6057, -0.0815,-0.0017,0.0016
86.622,1,8.9352,-3.4907,-3.6057, -0.0809,-0.0003,0.0033
86.687,1,8.9447,-3.4907,-3.6105, -0.0805,0.0000,0.0037
86.752,1,8.9352,-3.4812,-3.5961, -0.0809,0.0005,0.0040
86.816,1,8.9352,-3.4955,-3.6009, -0.0810,0.0016,0.0036
86.880,1,8.9399,-3.4812,-3.5913, -0.0811,-0.0011,0.0036
86.946,1,8.9352,-3.4812,-3.5961, -0.0813,-0.0012,0.0016
87.011,1,8.9352,-3.5003,-3.6057, -0.0814,-0.0015,0.0001
87.076,1,8.9352,-3.4955,-3.6009, -0.0819,-0.0023,-0.0012
87.143,1,8.9352,-3.4860,-3.5865, -0.0821,-0.0023,0.0001
87.208,1,8.9352,-3.4955,-3.5913, -0.0826,-0.0028,0.0001
87.274,1,8.9399,-3.5003,-3.6057, -0.0827,-0.0027,0.0001
87.339,1,8.9352,-3.4955,-3.5865, -0.0827,-0.0012,0.0001
87.404,1,8.9399,-3.4812,-3.5913, -0.0819,-0.0003,0.0011
87.470,1,8.9447,-3.5003,-3.5913, -0.0822,0.0001,0.0011
87.534,1,8.9447,-3.4907,-3.5817, -0.0817,-0.0004,0.0005
87.599,1,8.9447,-3.4955,-3.6057, -0.0813,-0.0007,0.0011
87.665,1,8.9447,-3.4907,-3.6057, -0.0811,-0.0012,0.0005
87.730,1,8.9352,-3.4955,-3.5913, -0.0817,-0.0017,0.0001
87.796,1,8.9352,-3.4907,-3.5961, -0.0823,-0.0017,0.0000
87.861,1,8.9352,-3.4860,-3.5961, -0.0821,-0.0011,0.0008
87.926,1,8.9447,-3.4907,-3.5961, -0.0822,-0.0001,0.0012
87.992,1,8.9495,-3.4907,-3.5961, -0.0819,-0.0003,0.0011
88.057,1,8.9399,-3.4907,-3.6057, -0.0822,-0.0003,0.0011
88.123,1,8.9543,-3.4860,-3.5913, -0.0817,-0.0004,0.0021
88.188,1,8.9399,-3.4955,-3.5865, -0.0822,0.0012,0.0041
88.252,1,8.9447,-3.4907,-3.6009, -0.0822,0.0019,0.0035
88.317,1,8.9399,-3.4907,-3.5865, -0.0814,0.0009,0.0041
88.381,1,8.9352,-3.4955,-3.5865, -0.0799,-0.0003,0.0015
88.446,1,8.9399,-3.4907,-3.5961, -0.0785,-0.0020,0.0000
88.512,1,8.9543,-3.5003,-3.5769, -0.0767,-0.0053,0.0037
88.577,1,8.9399,-3.4955,-3.5817, -0.0822,-0.0024,-0.0016
88.643,1,8.9399,-3.4955,-3.5769, -0.0855,0.0028,0.0009
88.708,1,8.9447,-3.4907,-3.5913, -0.0839,0.0039,-0.0017
88.773,1,8.9495,-3.4860,-3.5817, -0.0805,0.0027,0.0032
88.838,1,8.9352,-3.5051,-3.5674, -0.0797,0.0033,0.0051
88.902,1,8.9495,-3.5003,-3.5674, -0.0778,0.0052,0.0001
88.966,1,8.9543,-3.4907,-3.5674, -0.0767,0.0035,0.0017
89.030,1,8.9591,-3.4955,-3.5721, -0.0762,0.0023,0.0048
89.095,1,8.9687,-3.5003,-3.5482, -0.0755,-0.0013,0.0093
89.160,1,8.9543,-3.4907,-3.5578, -0.0778,-0.0021,0.0136
89.226,1,8.9447,-3.5195,-3.5769, -0.0782,-0.0049,0.0205
89.291,1,8.9447,-3.5243,-3.5626, -0.0807,-0.0015,0.0189
89.356,1,8.9447,-3.5386,-3.5721, -0.0802,0.0004,0.0274
89.421,1,8.9447,-3.5434,-3.5721, -0.0782,0.0027,0.0357
89.485,1,8.9256,-3.5769,-3.5721, -0.0790,0.0039,0.0542
89.549,1,8.8969,-3.6440,-3.5578, -0.0854,0.0069,0.0502
89.614,1,8.8921,-3.6583,-3.5530, -0.0902,0.0091,0.0322
89.678,1,8.9016,-3.6488,-3.5721, -0.0891,0.0047,0.0131
89.742,1,8.8825,-3.6583,-3.5530, -0.0855,0.0021,0.0087
89.807,1,8.8729,-3.6966,-3.5626, -0.0865,0.0032,-0.0141
89.872,1,8.8777,-3.6631,-3.5530, -0.0853,0.0039,-0.0441
89.938,1,8.9256,-3.5961,-3.5626, -0.0881,0.0103,-0.0486
