Timestamp (s),Sensor ID,Accel X (m/s^2),Accel Y (m/s^2),Accel Z (m/s^2),Gyro X (rad/s),Gyro Y (rad/s),Gyro Z (rad/s)
169.499,1,8.1738,-3.3710,-3.6871, -0.0330,-0.0286,0.0257
169.632,1,8.1690,-3.3615,-3.6727, -0.0322,-0.0270,0.0261
170.430,1,8.1451,-3.3950,-3.6919, -0.0301,-0.0208,0.0329
170.563,1,8.1403,-3.4141,-3.6919, -0.0334,-0.0208,0.0129
170.696,1,8.1690,-3.3567,-3.6871, -0.0346,-0.0215,0.0109
170.762,1,8.1834,-3.3519,-3.6871, -0.0328,-0.0218,0.0153
171.095,1,8.1882,-3.3327,-3.6631, -0.0199,-0.0189,0.0410
171.227,1,8.1930,-3.3615,-3.6392, -0.0199,-0.0201,0.0410
171.360,1,8.1738,-3.3854,-3.6392, -0.0173,-0.0261,0.0469
171.493,1,8.1738,-3.4141,-3.6344, -0.0188,-0.0285,0.0506
171.626,1,8.1547,-3.4572,-3.6200, -0.0257,-0.0240,0.0450
171.759,1,8.1594,-3.4524,-3.6248, -0.0342,-0.0225,0.0246
171.826,1,8.1642,-3.4572,-3.6296, -0.0362,-0.0236,0.0215
172.557,1,8.1786,-3.3950,-3.6392, -0.0333,-0.0257,0.0264
172.690,1,8.1738,-3.3950,-3.6248, -0.0322,-0.0256,0.0284
172.823,1,8.1642,-3.3902,-3.6296, -0.0318,-0.0276,0.0288
173.222,1,8.1786,-3.3998,-3.6248, -0.0322,-0.0246,0.0306
173.355,1,8.1834,-3.3950,-3.6248, -0.0318,-0.0266,0.0298
173.887,1,8.1882,-3.3998,-3.6200, -0.0316,-0.0276,0.0268
174.020,1,8.1834,-3.3902,-3.6200, -0.0324,-0.0269,0.0274
174.153,1,8.1786,-3.3902,-3.6392, -0.0329,-0.0266,0.0269
174.286,1,8.1930,-3.3950,-3.6296, -0.0321,-0.0261,0.0274
174.419,1,8.1786,-3.3806,-3.6344, -0.0328,-0.0269,0.0269
174.551,1,8.1882,-3.3806,-3.6344, -0.0325,-0.0268,0.0277
