Timestamp (s),Sensor ID,Accel X (m/s^2),Accel Y (m/s^2),Accel Z (m/s^2),Gyro X (rad/s),Gyro Y (rad/s),Gyro Z (rad/s)
245.967,1,9.1219,-3.3902,3.0789, -0.0826,0.0003,0.0032
246.031,1,9.1075,-3.3806,3.0598, -0.0825,0.0000,0.0036
246.096,1,9.1171,-3.3902,3.0646, -0.0826,-0.0008,0.0020
246.161,1,9.1171,-3.3758,3.0598, -0.0823,0.0007,0.0040
246.225,1,9.1028,-3.3854,3.0454, -0.0823,0.0008,0.0063
246.290,1,9.1123,-3.3710,3.0454, -0.0825,0.0005,0.0049
246.354,1,9.1123,-3.3854,3.0502, -0.0826,-0.0003,0.0076
246.419,1,9.1075,-3.3902,3.0550, -0.0826,0.0011,0.0064
246.484,1,9.1075,-3.3902,3.0598, -0.0826,0.0004,0.0053
246.548,1,9.1123,-3.3902,3.0694, -0.0829,-0.0012,0.0013
246.613,1,9.1171,-3.3710,3.0646, -0.0822,-0.0013,-0.0025
246.680,1,9.1123,-3.3662,3.0646, -0.0823,-0.0003,0.0045
246.745,1,9.1028,-3.3710,3.0550, -0.0826,0.0005,0.0057
246.810,1,9.1123,-3.3710,3.0598, -0.0837,-0.0009,0.0067
246.875,1,9.1028,-3.3950,3.0502, -0.0837,-0.0012,0.0065
246.940,1,9.1123,-3.3902,3.0598, -0.0837,-0.0021,0.0003
247.006,1,9.1123,-3.3758,3.0502, -0.0849,-0.0047,-0.0009
247.072,1,9.1028,-3.3615,3.0406, -0.0851,-0.0081,-0.0092
247.139,1,9.1219,-3.3423,3.0502, -0.0875,-0.0149,0.0040
247.204,1,9.1171,-3.3758,3.0358, -0.0898,-0.0209,0.0051
247.269,1,9.1363,-3.3710,3.0167, -0.0914,-0.0229,0.0088
247.335,1,9.1459,-3.3615,3.0167, -0.0927,-0.0222,0.0293
247.400,1,9.1411,-3.3806,2.9832, -0.0922,-0.0164,0.0446
247.466,1,9.1219,-3.4189,2.9736, -0.0930,-0.0145,0.0540
247.531,1,9.1219,-3.4477,2.9640, -0.0923,-0.0157,0.0546
247.597,1,9.1075,-3.4860,2.9449, -0.0915,-0.0156,0.0493
247.662,1,9.1028,-3.4955,2.9305, -0.0907,-0.0136,0.0484
247.727,1,9.0980,-3.5482,2.9161, -0.0897,-0.0092,0.0460
247.793,1,9.0980,-3.5530,2.9257, -0.0921,-0.0119,0.0429
247.858,1,9.0836,-3.5865,2.9209, -0.0942,-0.0113,0.0477
247.924,1,9.0836,-3.5865,2.9066, -0.0950,-0.0067,0.0536
247.989,1,9.0788,-3.6248,2.9066, -0.0971,-0.0077,0.0606
248.054,1,9.0549,-3.6679,2.9018, -0.1033,-0.0061,0.0785
248.120,1,9.0214,-3.7685,2.8826, -0.1017,-0.0031,0.0749
248.185,1,9.0214,-3.8020,2.8730, -0.0931,0.0011,0.0418
248.250,1,9.0070,-3.8164,2.8778, -0.0851,0.0083,0.0257
248.314,1,8.9974,-3.8211,2.8826, -0.0802,0.0145,0.0091
248.378,1,8.9926,-3.8355,2.8730, -0.0755,0.0225,-0.0129
248.444,1,9.0214,-3.7493,2.9305, -0.0726,0.0314,-0.0155
248.509,1,9.0214,-3.7350,2.9592, -0.0774,0.0408,0.0137
248.573,1,8.9639,-3.7876,2.9544, -0.0809,0.0341,0.0109
248.638,1,8.9543,-3.7685,2.9736, -0.0719,0.0529,0.0016
248.702,1,9.0070,-3.7158,3.0119, -0.0655,0.0626,0.0095
248.766,1,8.9878,-3.7541,3.0646, -0.0701,0.0437,0.0354
248.831,1,8.9543,-3.7828,3.0837, -0.0681,0.0500,0.0681
248.895,1,9.0309,-3.5721,3.1268, -0.0658,0.0293,0.1130
248.960,1,8.9016,-3.8307,3.1651, -0.0782,0.0482,0.1523
249.024,1,8.7676,-4.0701,3.1651, -0.0926,0.0238,0.1354
