Timestamp (s),Sensor ID,Accel X (m/s^2),Accel Y (m/s^2),Accel Z (m/s^2),Gyro X (rad/s),Gyro Y (rad/s),Gyro Z (rad/s)
7.294,1,8.4707,-1.3455,-4.2329, -0.0252,-0.0264,0.0233
7.294,1,8.4707,-1.3455,-4.2329, -0.0252,-0.0264,0.0233
237.427,1,8.4803,-1.3455,-4.2282, -0.0246,-0.0269,0.0238
237.560,1,8.4755,-1.3360,-4.2377, -0.0264,-0.0258,0.0238
237.693,1,8.4851,-1.3503,-4.2377, -0.0248,-0.0249,0.0244
237.826,1,8.4851,-1.3455,-4.2425, -0.0253,-0.0256,0.0224
237.959,1,8.4707,-1.3455,-4.2186, -0.0240,-0.0261,0.0261
238.092,1,8.4898,-1.3408,-4.2329, -0.0242,-0.0249,0.0249
238.224,1,8.4755,-1.3168,-4.2377, -0.0241,-0.0260,0.0257
238.357,1,8.4803,-1.3455,-4.2329, -0.0245,-0.0265,0.0246
238.557,1,8.4851,-1.3408,-4.2473, -0.0252,-0.0264,0.0250
238.690,1,8.4803,-1.3455,-4.2329, -0.0246,-0.0268,0.0257
238.956,1,8.4803,-1.3455,-4.2425, -0.0249,-0.0265,0.0254
239.155,1,8.4755,-1.3455,-4.2521, -0.0258,-0.0257,0.0252
239.354,1,8.4803,-1.3408,-4.2665, -0.0264,-0.0262,0.0272
239.554,1,8.4755,-1.3647,-4.2617, -0.0301,-0.0238,0.0416
"00239.753",1,8.4898,-1.3743,-4.2377, -0.0345,-0.0091,0.0394
239.886,1,8.4851,-1.3838,-4.2186, -0.0330,-0.0261,0.0286
240.019,1,8.4851,-1.3647,-4.2186, -0.0282,-0.0249,0.0330
240.152,1,8.4851,-1.3791,-4.2042, -0.0302,-0.0234,0.0304
240.418,1,8.4803,-1.3982,-4.2329, -0.0269,-0.0280,0.0337
240.551,1,8.4946,-1.3886,-4.2138, -0.0322,-0.0197,0.0352
240.683,1,8.5042,-1.3408,-4.1659, -0.0658,0.0217,-0.0192
240.816,1,8.5138,-1.3647,-4.1276, -0.0270,-0.0302,0.0510
240.948,1,8.5138,-1.4078,-4.1755, -0.0265,-0.0342,0.0440
241.081,1,8.5138,-1.3791,-4.1611, -0.0204,-0.0404,0.0333
241.214,1,8.4707,-1.4748,-4.1276, -0.0368,-0.0963,0.0027
241.348,1,8.3510,-1.3408,-4.2713, -0.0882,-0.4251,-0.0545
241.483,1,8.0445,-1.2210,-5.1427, -0.1037,-0.6467,0.0076
241.616,1,8.3510,-0.7997,-5.6264, -0.1227,-0.2084,0.3122
241.747,1,8.7532,-1.1157,-3.1987, 0.1809,0.4980,0.1913
241.877,1,9.3278,-1.9106,-3.3088, -0.2222,0.9370,0.1359
242.008,1,9.2416,-2.1787,-4.9656, -0.1801,0.3720,0.1880
242.140,1,8.6143,-2.8922,-5.0949, 0.2803,0.6129,-0.3340
242.270,1,6.9911,-1.1205,-4.3287, 0.3519,0.1937,-0.0324
242.402,1,10.2807,-2.6432,-2.3559, -0.2041,-0.6151,-0.1896
242.540,1,9.4044,-1.0056,-4.1851, -0.1611,-0.3313,-0.1287
242.675,1,8.6335,-0.7661,-3.4716, -0.1539,-0.1729,-0.1094
242.809,1,8.7915,-1.0056,-4.3527, -0.0183,-0.2397,0.1689
