Timestamp (s),Sensor ID,Accel X (m/s^2),Accel Y (m/s^2),Accel Z (m/s^2),Gyro X (rad/s),Gyro Y (rad/s),Gyro Z (rad/s)
37.033,1,9.0692,-4.6304,-1.0965, -0.0822,-0.0004,0.0024
37.099,1,9.0740,-4.6160,-1.0965, -0.0821,-0.0005,0.0023
37.164,1,9.0788,-4.6304,-1.0918, -0.0822,-0.0015,0.0027
37.229,1,9.0740,-4.6352,-1.0965, -0.0819,-0.0011,0.0029
37.295,1,9.0644,-4.6304,-1.1061, -0.0818,-0.0008,0.0033
37.360,1,9.0740,-4.6208,-1.1013, -0.0821,-0.0011,0.0029
37.426,1,9.0597,-4.6256,-1.1109, -0.0817,-0.0005,0.0027
37.491,1,9.0644,-4.6256,-1.1061, -0.0817,0.0003,0.0027
37.555,1,9.0740,-4.6256,-1.1061, -0.0818,0.0000,0.0021
37.619,1,9.0740,-4.6304,-1.0918, -0.0819,-0.0004,0.0032
37.685,1,9.0740,-4.6208,-1.0965, -0.0819,-0.0009,0.0028
37.750,1,9.0692,-4.6208,-1.0870, -0.0822,-0.0009,0.0033
37.816,1,9.0644,-4.6160,-1.1013, -0.0819,-0.0007,0.0024
37.881,1,9.0692,-4.6304,-1.1061, -0.0819,-0.0004,0.0025
37.946,1,9.0644,-4.6256,-1.1061, -0.0822,-0.0001,0.0031
38.012,1,9.0692,-4.6208,-1.0965, -0.0821,0.0000,0.0028
38.076,1,9.0740,-4.6304,-1.0870, -0.0819,-0.0005,0.0025
38.141,1,9.0740,-4.6256,-1.0965, -0.0817,-0.0004,0.0023
38.207,1,9.0740,-4.6352,-1.0870, -0.0815,-0.0004,0.0027
38.272,1,9.0644,-4.6304,-1.0965, -0.0821,-0.0008,0.0027
38.337,1,9.0644,-4.6208,-1.1013, -0.0818,-0.0011,0.0028
38.403,1,9.0644,-4.6304,-1.0965, -0.0822,-0.0012,0.0032
38.468,1,9.0740,-4.6256,-1.1013, -0.0819,-0.0009,0.0027
38.533,1,9.0692,-4.6256,-1.1013, -0.0821,-0.0008,0.0025
38.599,1,9.0740,-4.6304,-1.0774, -0.0815,-0.0005,0.0028
38.664,1,9.0597,-4.6256,-1.0918, -0.0818,-0.0005,0.0028
38.730,1,9.0740,-4.6304,-1.0965, -0.0818,-0.0007,0.0025
