Timestamp (s),Sensor ID,Accel X (m/s^2),Accel Y (m/s^2),Accel Z (m/s^2),Gyro X (rad/s),Gyro Y (rad/s),Gyro Z (rad/s)
49.756,1,8.1403,-3.5243,-3.6152, -0.0390,-0.0213,0.0047
49.953,1,8.1642,-3.4620,-3.6105, -0.0425,-0.0230,0.0028
50.215,1,8.1786,-3.4429,-3.6200, -0.0330,-0.0256,0.0260
50.607,1,8.1882,-3.4381,-3.6296, -0.0322,-0.0246,0.0266
50.738,1,8.1738,-3.4333,-3.6248, -0.0322,-0.0273,0.0253
50.804,1,8.1738,-3.4189,-3.6296, -0.0313,-0.0292,0.0270
51.000,1,8.1834,-3.4141,-3.6296, -0.0316,-0.0266,0.0268
51.131,1,8.1834,-3.4141,-3.6392, -0.0305,-0.0236,0.0292
51.261,1,8.1786,-3.4237,-3.6344, -0.0304,-0.0265,0.0272
51.392,1,8.1834,-3.4237,-3.6248, -0.0318,-0.0256,0.0238
51.523,1,8.1930,-3.4046,-3.6344, -0.0300,-0.0248,0.0229
51.654,1,8.2073,-3.4046,-3.6105, -0.0237,-0.0192,0.0294
51.785,1,8.1930,-3.4237,-3.6009, -0.0250,-0.0241,0.0310
51.915,1,8.1930,-3.4237,-3.6152, -0.0257,-0.0269,0.0329
52.046,1,8.1930,-3.4189,-3.6200, -0.0268,-0.0256,0.0342
52.177,1,8.1930,-3.4381,-3.6152, -0.0274,-0.0269,0.0340
52.308,1,8.1834,-3.4477,-3.6057, -0.0269,-0.0280,0.0312
52.635,1,8.1882,-3.4524,-3.5961, -0.0305,-0.0264,0.0282
52.766,1,8.1930,-3.4477,-3.5961, -0.0297,-0.0274,0.0281
53.027,1,8.1930,-3.4429,-3.5961, -0.0306,-0.0277,0.0238
53.158,1,8.1930,-3.4381,-3.5865, -0.0322,-0.0269,0.0237
53.289,1,8.1930,-3.4285,-3.5961, -0.0324,-0.0265,0.0253
53.420,1,8.1930,-3.4285,-3.6057, -0.0320,-0.0264,0.0264
53.550,1,8.1882,-3.4285,-3.6009, -0.0316,-0.0266,0.0285
53.681,1,8.1977,-3.4285,-3.5913, -0.0322,-0.0260,0.0282
53.812,1,8.1834,-3.4333,-3.5817, -0.0316,-0.0268,0.0285
53.943,1,8.1834,-3.4285,-3.6009, -0.0318,-0.0254,0.0289
54.074,1,8.1882,-3.4237,-3.6009, -0.0318,-0.0257,0.0289
54.204,1,8.1977,-3.4189,-3.5913, -0.0326,-0.0257,0.0269
54.335,1,8.1930,-3.4237,-3.6009, -0.0318,-0.0264,0.0285
54.466,1,8.2025,-3.4285,-3.5961, -0.0321,-0.0254,0.0246
54.597,1,8.1930,-3.4046,-3.5961, -0.0317,-0.0269,0.0249
54.728,1,8.2025,-3.4046,-3.5913, -0.0318,-0.0248,0.0249
54.859,1,8.2025,-3.3998,-3.6057, -0.0317,-0.0265,0.0258
54.989,1,8.2073,-3.4046,-3.6009, -0.0312,-0.0262,0.0276
