Timestamp (s),Sensor ID,Accel X (m/s^2),Accel Y (m/s^2),Accel Z (m/s^2),Gyro X (rad/s),Gyro Y (rad/s),Gyro Z (rad/s)
40.784,1,8.5186,-4.6735,3.0550, -0.0755,0.0019,-0.0600
40.848,1,8.5617,-4.6160,3.0358, -0.0685,-0.0011,-0.1066
40.913,1,8.6143,-4.4676,3.0598, -0.0616,-0.0036,-0.1136
40.979,1,8.6766,-4.3862,3.0550, -0.0671,0.0007,-0.0855
41.043,1,8.6957,-4.3527,3.0789, -0.0735,0.0023,-0.0445
41.107,1,8.6910,-4.3670,3.0646, -0.0789,0.0008,-0.0120
41.172,1,8.6718,-4.3622,3.0742, -0.0814,-0.0047,-0.0040
41.237,1,8.6766,-4.3814,3.0550, -0.0815,-0.0067,-0.0064
41.302,1,8.6766,-4.3670,3.0550, -0.0798,-0.0043,-0.0109
41.368,1,8.6957,-4.3574,3.0502, -0.0781,-0.0019,-0.0092
41.433,1,8.7005,-4.3527,3.0742, -0.0801,-0.0025,-0.0045
41.499,1,8.6957,-4.3383,3.0598, -0.0810,-0.0032,-0.0016
41.564,1,8.6957,-4.3431,3.0406, -0.0818,-0.0036,0.0004
41.628,1,8.7005,-4.3479,3.0550, -0.0823,-0.0033,0.0007
41.693,1,8.7005,-4.3335,3.0598, -0.0814,-0.0007,0.0028
41.757,1,8.6957,-4.3479,3.0502, -0.0829,-0.0041,0.0008
41.821,1,8.7005,-4.3479,3.0406, -0.0817,-0.0012,0.0017
41.886,1,8.6862,-4.3527,3.0454, -0.0813,-0.0005,-0.0005
41.951,1,8.6957,-4.3383,3.0694, -0.0809,0.0001,-0.0015
42.015,1,8.7053,-4.3383,3.0502, -0.0807,0.0003,-0.0028
42.079,1,8.7005,-4.3287,3.0550, -0.0801,0.0007,-0.0027
42.144,1,8.7005,-4.3239,3.0550, -0.0802,0.0017,-0.0016
42.208,1,8.7005,-4.3191,3.0646, -0.0807,0.0003,-0.0003
42.272,1,8.7005,-4.3239,3.0598, -0.0797,0.0037,0.0015
42.336,1,8.7053,-4.3144,3.0694, -0.0806,0.0012,0.0051
42.399,1,8.7053,-4.3287,3.0694, -0.0807,0.0005,0.0092
42.462,1,8.7005,-4.3191,3.0885, -0.0821,-0.0011,0.0111
42.526,1,8.6957,-4.3239,3.0694, -0.0830,-0.0027,0.0101
42.591,1,8.6957,-4.3431,3.0598, -0.0835,-0.0051,0.0059
42.655,1,8.7053,-4.3287,3.0598, -0.0822,-0.0023,0.0053
42.719,1,8.6957,-4.3335,3.0598, -0.0830,-0.0029,0.0064
42.784,1,8.7005,-4.3383,3.0598, -0.0835,-0.0035,0.0033
42.848,1,8.6910,-4.3431,3.0406, -0.0845,-0.0072,-0.0013
42.913,1,8.7005,-4.3144,3.0550, -0.0822,-0.0039,-0.0104
42.979,1,8.7101,-4.3479,3.0311, -0.0811,-0.0072,-0.0157
43.044,1,8.7197,-4.2952,3.0406, -0.0787,-0.0040,-0.0157
43.110,1,8.7101,-4.3335,3.0406, -0.0781,-0.0033,-0.0237
43.175,1,8.7293,-4.3048,3.0406, -0.0749,-0.0012,-0.0356
43.240,1,8.7580,-4.2473,3.0406, -0.0749,-0.0003,-0.0329
43.306,1,8.7580,-4.2138,3.0502, -0.0785,-0.0009,-0.0161
43.371,1,8.7580,-4.2138,3.0502, -0.0814,-0.0013,-0.0007
43.436,1,8.7771,-4.2234,3.0454, -0.0803,0.0004,0.0176
43.500,1,8.7388,-4.2473,3.0502, -0.0791,0.0063,0.0292
43.563,1,8.7149,-4.2760,3.0646, -0.0809,0.0023,0.0147
43.626,1,8.7293,-4.2617,3.0646, -0.0810,0.0004,-0.0051
43.691,1,8.7340,-4.2521,3.0742, -0.0818,-0.0004,-0.0103
